State,State_abbr,FIPS,APIS_date,alcohol_togo_APIS_bars,alcohol_togo_APIS_rest,Spirits_togo_NABCA_bars,Spirits_togo_NABCA_rest,Doug's Notes for Differneces,Suggested_code_bar,Suggested_code_rest,UID,SID,SchoolName,BarName,RC_Masks_customer,RC_Masks_staff,RC_distance,Drink_Specials,alcohol_togo,Beer_Price,Vodka_price,Cigarettes_inside,Ecig_inside,City,togo_cat_raw,alcohol to-go Mixed Drinks Beer Wine,beer,wine,mixed_drinks,NABCA_spirits_bars,NABCA_spirits_rest
Alabama,AL,1,9/15/2020,0,0,Yes,Yes,"Appears to be due to timing of collection, APIS likely more accurate",0,0,142,4,University of Alabama,Rounders,,,,,,,,,,Tuscaloosa,,,,,,1,1
Alabama,AL,1,9/15/2020,0,0,Yes,Yes,"Appears to be due to timing of collection, APIS likely more accurate",0,0,198,63,Auburn University,Derailed Bar & Grill,,,,,,,,,,Auburn,,,,,,1,1
Alabama,AL,1,9/15/2020,0,0,Yes,Yes,"Appears to be due to timing of collection, APIS likely more accurate",0,0,413,4,University of Alabama,Green Bar,,,,,,,,,,Tuscaloosa,,,,,,1,1
Alabama,AL,1,9/15/2020,0,0,Yes,Yes,"Appears to be due to timing of collection, APIS likely more accurate",0,0,467,63,Auburn University,Quitoxes,,,,,,,,,,Auburn,,,,,,1,1
Alaska,AK,2,5/22/2020,1,1,Yes,Yes,,1,1,5,5,University of Alaska Southeast,Sandbar & Grill,1,1,1,0,0,4,5.5,0,0,Juneau,,N/A,0,0,0,1,1
Alaska,AK,2,5/22/2020,1,1,Yes,Yes,,1,1,117,123,University of Alaska Anchorage,Timeout Lounge,1,1,0,0,0,5,4.5,0,0,Anchorage,,,0,0,0,1,1
Alaska,AK,2,5/22/2020,1,1,Yes,Yes,,1,1,140,2,University of Alaska Fairbanks,Red Fox Bar & Grill,,,,,,,,,,Fairbanks,,,,,,1,1
Alaska,AK,2,5/22/2020,1,1,Yes,Yes,,1,1,143,5,University of Alaska Southeast,Squires Rest,1,1,1,0,0,6.5,5,0,0,Juneau,,,0,0,0,1,1
Alaska,AK,2,5/22/2020,1,1,Yes,Yes,,1,1,258,123,University of Alaska Anchorage,Blue Fox,1,1,1,0,0,4,5.5,0,0,Anchorage,,,0,0,0,1,1
Alaska,AK,2,5/22/2020,1,1,Yes,Yes,,1,1,282,2,University of Alaska Fairbanks,Mecca Bar,0,0,0,0,0,3.5,4,0,0,Fairbanks,,N/A,0,0,0,1,1
Alaska,AK,2,5/22/2020,1,1,Yes,Yes,,1,1,411,2,University of Alaska Fairbanks,The Marlin,,,,,,,,,,Fairbanks,,,,,,1,1
Arizona,AZ,4,8/10/2020,1,1,No,Yes,"In APIS, bars turn on 3/20, NABCA website has curbside alcmarked as expired, spirits marked as yes",1,1,63,68,Northern Arizona University,Collins Irish Pub & Grill,1,1,1,1,0,6.5,6.5,0,0,Flagstaff,,,0,0,0,0,1
Arizona,AZ,4,8/10/2020,1,1,No,Yes,"In APIS, bars turn on 3/20, NABCA website has curbside alcmarked as expired, spirits marked as yes",1,1,128,135,University of Arizona,Frog & Firkin,1,1,0,1,,,,,,Tucson,,,,,,0,1
Arizona,AZ,4,8/10/2020,1,1,No,Yes,"In APIS, bars turn on 3/20, NABCA website has curbside alcmarked as expired, spirits marked as yes",1,1,152,14,Arizona State University- Tempe,Fat Tuesday,1,1,1,1,1,3.5,6,0,0,Tempe,MBW,MBW,1,1,1,0,1
Arizona,AZ,4,8/10/2020,1,1,No,Yes,"In APIS, bars turn on 3/20, NABCA website has curbside alcmarked as expired, spirits marked as yes",1,1,203,68,Northern Arizona University,Lumberyard Brewing Co,1,1,1,1,1,3.25,4,0,0,Flagstaff,beer/mixed drinks,beer/mixed drinks,1,1,1,0,1
Arizona,AZ,4,8/10/2020,1,1,No,Yes,"In APIS, bars turn on 3/20, NABCA website has curbside alcmarked as expired, spirits marked as yes",1,1,340,68,Northern Arizona University,Monsoon,1,1,1,1,,,,,,Flagstaff,,,,,,0,1
Arizona,AZ,4,8/10/2020,1,1,No,Yes,"In APIS, bars turn on 3/20, NABCA website has curbside alcmarked as expired, spirits marked as yes",1,1,399,135,University of Arizona,Dutch Eatery & Refuge,1,1,1,1,1,6,6,0,0,Tucson,MBW,MBW,1,1,1,0,1
Arizona,AZ,4,8/10/2020,1,1,No,Yes,"In APIS, bars turn on 3/20, NABCA website has curbside alcmarked as expired, spirits marked as yes",1,1,423,14,Arizona State University- Tempe,The Lodge Sasquatch Kitchen,1,1,0,1,1,5,5,0,0,Tempe,,BM,1,0,1,0,1
Arizona,AZ,4,8/10/2020,1,1,No,Yes,"In APIS, bars turn on 3/20, NABCA website has curbside alcmarked as expired, spirits marked as yes",1,1,533,135,University of Arizona,Club 4th Ave,,,,,,,,,,Tucson,,,,,,0,1
Arkansas,AR,5,5/26/2020,1,1,Yes,Yes,,1,1,30,31,University of Arkansas at Little Rock,Zack's Place LLC,,,,,,,,,,Little Rock,,,,,,1,1
Arkansas,AR,5,5/26/2020,1,1,Yes,Yes,,1,1,255,120,University of Arkansas,Yeehawg,,,,,,,,,,Fayetteville,,,,,,1,1
Arkansas,AR,5,5/26/2020,1,1,Yes,Yes,,1,1,267,132,Arkansas State University-Main Campus,The Diamond Grill,,,,,,,,,,Jonesboro,,,,,,1,1
Arkansas,AR,5,5/26/2020,1,1,Yes,Yes,,1,1,438,31,University of Arkansas at Little Rock,Norm's,,,,,,,,,,Little Rock,,,,,,1,1
Arkansas,AR,5,5/26/2020,1,1,Yes,Yes,,1,1,520,120,University of Arkansas,Maxine's Tap Room,1,1,1,0,1,4,6,0,0,Fayetteville,MBW,MBW,1,1,1,1,1
Arkansas,AR,5,5/26/2020,1,1,Yes,Yes,,1,1,530,132,Arkansas State University-Main Campus,Brickhouse Bar & Grill,,,,,,,,,,Jonesboro,,,,,,1,1
California,CA,6,8/31/2020,1,1,No,Yes,"order of non-enforcement, agreeing with APIS",1,1,34,35,"University of California, Los Angeles",Barney's Beanery,1,1,1,1,1,5,7,,,Los Angeles,MBW,MBW,1,1,1,0,1
California,CA,6,8/31/2020,1,1,No,Yes,"order of non-enforcement, agreeing with APIS",1,1,75,80,California State University- Northridge,Matador Bowl,1,1,1,1,0,7.5,6.5,0,0,Northridge,,,0,0,0,0,1
California,CA,6,8/31/2020,1,1,No,Yes,"order of non-enforcement, agreeing with APIS",1,1,129,136,California State University-Fullerton,In Cahoots,,,,,,,,,,Fullerton,,,,,,0,1
California,CA,6,8/31/2020,1,1,No,Yes,"order of non-enforcement, agreeing with APIS",1,1,172,35,"University of California, Los Angeles",Gypsy Café,,,,,,,,,,Los Angeles,,,,,,0,1
California,CA,6,8/31/2020,1,1,No,Yes,"order of non-enforcement, agreeing with APIS",1,1,215,80,California State University-Northridge,Nectar Apple Cocktail Lounge,,,,,,,,,,Northridge,,,,,,0,1
California,CA,6,8/31/2020,1,1,No,Yes,"order of non-enforcement, agreeing with APIS",1,1,271,136,California State University-Fullerton,Branaga's Irish Pub,,,,,,,,,,Fullerton,,,,,,0,1
California,CA,6,8/31/2020,1,1,No,Yes,"order of non-enforcement, agreeing with APIS",1,1,311,35,"University of California, Los Angeles",Philly West Bar & Grill,,,,,,,,,,Los Angeles,,,,,,0,1
California,CA,6,8/31/2020,1,1,No,Yes,"order of non-enforcement, agreeing with APIS",1,1,442,35,University of California Los Angeles,Byblos,1,1,1,0,1,7,12,0,0,Los Angeles,MBW,MBW,1,1,1,0,1
California,CA,6,8/31/2020,1,1,No,Yes,"order of non-enforcement, agreeing with APIS",1,1,483,80,California State University- Northridge,Oh Gradys,,,,,,,,,,Granada Hills,,,,,,0,1
California,CA,6,8/31/2020,1,1,No,Yes,"order of non-enforcement, agreeing with APIS",1,1,534,136,California State University-Fullerton,Heroes Bar & Grill,1,1,0,1,1,6.5,7.5,0,1,Fullerton,,MB,1,0,1,0,1
Colorado,CO,8,9/15/2020,1,1,Yes,Yes,,1,1,37,39,Colorado State University-Fort Collins,Tap and Handle,1,1,1,1,1,5,7,0,0,Fort Collins,all drinks,all drinks,1,1,1,1,1
Colorado,CO,8,9/15/2020,1,1,Yes,Yes,,1,1,131,138,University of Colorado Boulder,Sundown Saloon,,,,,,,,,,Boulder,,,,,,1,1
Colorado,CO,8,9/15/2020,1,1,Yes,Yes,,1,1,175,39,Colorado State University-Fort Collins,Blind Pig Pub,1,1,0,1,1,4,7.75,0,0,Fort Collins,,signature drinks,0,0,1,1,1
Colorado,CO,8,9/15/2020,1,1,Yes,Yes,,1,1,214,79,University of Northern Colorado,Patrick's Irish Pub,1,1,0,1,1,2.25,3,0,0,Greeley,beer,beer,1,0,0,1,1
Colorado,CO,8,9/15/2020,1,1,Yes,Yes,,1,1,273,138,University of Colorado Boulder,The Walrus Saloon,,,,,,,,,,Boulder,,,,,,1,1
Colorado,CO,8,9/15/2020,1,1,Yes,Yes,,1,1,445,39,Colorado State University-Fort Collins,Sahara Night,,,,,,,,,,Fort Collins,,,,,,1,1
Colorado,CO,8,9/15/2020,1,1,Yes,Yes,,1,1,482,79,University of Northern Colorado,Goodtime Towne Tavern,,,,,,,,,,Greeley,,,,,,1,1
Colorado,CO,8,9/15/2020,1,1,Yes,Yes,,1,1,536,138,University of Colorado Boulder,Bohemian Biergarten,1,1,1,0,1,6.5,5,0,0,Boulder,,BW,1,1,0,1,1
Connecticut,CT,9,6/17/2020,1,1,Yes,Yes,,1,1,23,24,Central Connecticut State University,Bar On Cedar The LLC,,,,,,,,,,Newington,,,,,,1,1
Connecticut,CT,9,6/17/2020,1,1,Yes,Yes,,1,1,161,24,Central Connecticut State University,The Frosty Mug,1,1,1,0,0,3,4,0,0,New Britain,,,0,0,0,1,1
Connecticut,CT,9,6/17/2020,1,1,Yes,Yes,,1,1,250,115,Southern Connecticut State University,Rudy's Bar,1,1,0,1,0,5,5,0,0,New Haven,,N/A,0,0,0,1,1
Connecticut,CT,9,6/17/2020,1,1,Yes,Yes,,1,1,276,141,University of Connecticut,True Blue Tavern,,,,,,,,,,Mansfield,,,,,,1,1
Connecticut,CT,9,6/17/2020,1,1,Yes,Yes,,1,1,301,24,Central Connecticut State University,Belvedere Café and restaurant,1,1,0,0,0,,4,1,1,New Britain,,,0,0,0,1,1
Connecticut,CT,9,6/17/2020,1,1,Yes,Yes,,1,1,384,115,Southern Connecticut State University,Box 63 American Bar & Grill,,,,,,,,,,New Haven,,,,,,1,1
Connecticut,CT,9,6/17/2020,1,1,Yes,Yes,,1,1,431,24,Central Connecticut State University,The Back Nine Tavern,1,1,1,0,0,,5,0,0,New Britain,,,0,0,0,1,1
Connecticut,CT,9,6/17/2020,1,1,Yes,Yes,,1,1,517,115,Southern Connecticut State University,Three Sheets,,,,,,,,,,New Haven,,,,,,1,1
Connecticut,CT,9,6/17/2020,1,1,Yes,Yes,,1,1,539,141,University of Connecticut,Ted's Restaurant & Bar,,,,,,,,,,Storrs,,,,,,1,1
Delaware,DE,10,6/1/2020,1,1,Yes,Yes,,1,1,118,124,Delaware State University,Tom's Bullpen,1,1,1,0,0,4,4,0,0,Dover,,N/A,0,0,0,1,1
Delaware,DE,10,6/1/2020,1,1,Yes,Yes,,1,1,121,127,University of Delaware,Arena's Deli & Bar,1,1,0,1,1,2.25,5,0,0,Newark,,margaritas,0,0,1,1,1
Delaware,DE,10,6/1/2020,1,1,Yes,Yes,,1,1,259,124,Delaware State University,McGlynns Pub & Restaurant,1,1,0,1,1,2.75,3,0,0,Dover,all drinks,all drinks,1,1,1,1,1
Delaware,DE,10,6/1/2020,1,1,Yes,Yes,,1,1,262,127,University of Delaware,Pat's Pizza & Pasta,1,1,0,,0,2.5,,0,0,Newark,,N/A,0,0,0,1,1
Delaware,DE,10,6/1/2020,1,1,Yes,Yes,,1,1,390,124,Delaware State University,Allure Nightclub,,,,,,,,,,Dover,,,,,,1,1
Delaware,DE,10,6/1/2020,1,1,Yes,Yes,,1,1,393,127,University of Delaware,Mad Macs,1,1,1,1,0,2.75,5,0,0,Newark,,,0,0,0,1,1
Delaware,DE,10,6/1/2020,1,1,Yes,Yes,,1,1,523,124,Delaware State University,The Golden Fleece Tavern,,,,,,,,,,Dover,,,,,,1,1
Delaware,DE,10,6/1/2020,1,1,Yes,Yes,,1,1,526,127,University of Delaware,Iron Hill Brewery & Restaurant,1,1,1,1,1,17,7.5,0,0,Newark,MBW,MBW,1,1,1,1,1
District of Columbia,DC,11,6/22/2020,1,1,Yes,Yes,,1,1,,,,,,,,,,,,,,,,,,,,1,1
Florida,FL,12,9/14/2020,1,1,No,Yes,"NABCA site has spirit based drink marked as yes if sealed, no for alcohol curbside",1,1,54,57,Florida International University,Sports Grill Bird Road,1,1,0,1,1,3.75,,0,1,Miami,,BW,1,1,0,0,1
Florida,FL,12,9/14/2020,1,1,No,Yes,"NABCA site has spirit based drink marked as yes if sealed, no for alcohol curbside",1,1,151,13,University of Central Florida,Buffalo Wild Wings,1,1,1,0,0,3,4.25,0,0,Orlando,,,0,0,0,0,1
Florida,FL,12,9/14/2020,1,1,No,Yes,"NABCA site has spirit based drink marked as yes if sealed, no for alcohol curbside",1,1,159,22,University of Florida,Salty Dog Saloon,,,,,,,,,,Gainesville,,,,,,0,1
Florida,FL,12,9/14/2020,1,1,No,Yes,"NABCA site has spirit based drink marked as yes if sealed, no for alcohol curbside",1,1,192,57,Florida International University,La Shangrila Karaoke,,,,,,,,,,Miami,,,,,,0,1
Florida,FL,12,9/14/2020,1,1,No,Yes,"NABCA site has spirit based drink marked as yes if sealed, no for alcohol curbside",1,1,292,13,University of Central Florida,The Public House,1,1,0,1,0,5,5.5,0,0,Orlando,,N/A,0,0,0,0,1
Florida,FL,12,9/14/2020,1,1,No,Yes,"NABCA site has spirit based drink marked as yes if sealed, no for alcohol curbside",1,1,299,22,University of Florida,Mother's Pub & Grill,1,1,0,1,1,3,2,0,0,Gainesville,beers,beers,1,0,0,0,1
Florida,FL,12,9/14/2020,1,1,No,Yes,"NABCA site has spirit based drink marked as yes if sealed, no for alcohol curbside",1,1,422,13,University of Central Florida,Bar Louie,,,,,,,,,,Orlando,,,,,,0,1
Florida,FL,12,9/14/2020,1,1,No,Yes,"NABCA site has spirit based drink marked as yes if sealed, no for alcohol curbside",1,1,462,57,Florida International University,Ritmo Café,,,,,,,,,,Miami,,,,,,0,1
Georgia,GA,13,8/3/2020,1,1,No,Yes,"NABCA maked as no on all, which is news to this Georgia resident",1,1,3,3,Georgia State University,Harold's Chicken & Ice Bar,0,0,0,1,0,4,5,0,0,Atlanta,,,0,0,0,0,1
Georgia,GA,13,8/3/2020,1,1,No,Yes,"NABCA maked as no on all, which is news to this Georgia resident",1,1,141,3,Georgia State University,Puff & Petals,,,,,,,,,,Atlanta,,,,,,0,1
Georgia,GA,13,8/3/2020,1,1,No,Yes,"NABCA maked as no on all, which is news to this Georgia resident",1,1,145,7,University of Georgia,Bar South,,,,,,,,,,Athens,,,,,,0,1
Georgia,GA,13,8/3/2020,1,1,No,Yes,"NABCA maked as no on all, which is news to this Georgia resident",1,1,206,71,Kennesaw State University,Kennesaw Billiards,0,1,0,1,0,,,1,1,Kennesaw,,N/A,0,0,0,0,1
Georgia,GA,13,8/3/2020,1,1,No,Yes,"NABCA maked as no on all, which is news to this Georgia resident",1,1,283,3,Georgia State University,WildPitch Underground,,,,,,,,,,Atlanta,,,,,,0,1
Georgia,GA,13,8/3/2020,1,1,No,Yes,"NABCA maked as no on all, which is news to this Georgia resident",1,1,286,7,University of Georgia,Walker Coffee Shop & Pub,1,1,1,0,0,3,4.5,1,1,Athens,,,0,0,0,0,1
Georgia,GA,13,8/3/2020,1,1,No,Yes,"NABCA maked as no on all, which is news to this Georgia resident",1,1,343,71,Kennesaw State University,The Lizzy Cantina,0,1,1,1,0,3,5,0,0,Kennesaw,,N/A,0,0,0,0,1
Georgia,GA,13,8/3/2020,1,1,No,Yes,"NABCA maked as no on all, which is news to this Georgia resident",1,1,412,3,Georgia State University,Soul Bar At Pals Lounge,,,,,,,,,,Atlanta,,,,,,0,1
Hawaii,HI,15,6/1/2020,1,1,Yes,Yes,,1,1,193,58,University of Hawaii at Hilo,Karma's Bar and Lounge,,,,,,,,,,Hilo,,,,,,1,1
Hawaii,HI,15,6/1/2020,1,1,Yes,Yes,,1,1,279,144,University of Hawaii at Manoa,GS Studios,,,,,,,,,,Honolulu,,,,,,1,1
Hawaii,HI,15,6/1/2020,1,1,Yes,Yes,,1,1,408,144,University of Hawaii at Manoa,Hard Rock Café,,,,,0,,,,,Honolulu,,N/A,0,0,0,1,1
Hawaii,HI,15,6/1/2020,1,1,Yes,Yes,,1,1,542,144,University of Hawaii at Manoa,Jazz Minds Honolulu,,,,,,,,,,Honolulu,,,,,,1,1
Idaho,ID,16,6/13/2020,1,1,Already Permitted,Already Permitted,,1,1,62,67,Idaho State University,Sandbagger's Bar & Grill,0,1,0,1,1,3,4.5,0,0,Pocatello,all drinks,all drinks,1,1,1,1,1
Idaho,ID,16,6/13/2020,1,1,Already Permitted,Already Permitted,,1,1,127,134,University of Idaho,Corner Club,0,1,0,0,1,2.75,2.75,0,0,Moscow,B,B,1,0,0,1,1
Idaho,ID,16,6/13/2020,1,1,Already Permitted,Already Permitted,,1,1,202,67,Idaho State University,Clydesdale Bar & Lounge,0,0,0,1,0,3.75,4,0,1,Pocatello,,,0,0,0,1,1
Idaho,ID,16,6/13/2020,1,1,Already Permitted,Already Permitted,,1,1,242,107,Boise State University,Press & Pony,1,1,1,,,,,0,0,Boise,,,,,,1,1
Idaho,ID,16,6/13/2020,1,1,Already Permitted,Already Permitted,,1,1,269,134,University of Idaho,Plantation Tavern,1,1,0,1,1,2.25,2.75,0,0,Moscow,MBW,MBW,1,1,1,1,1
Idaho,ID,16,6/13/2020,1,1,Already Permitted,Already Permitted,,1,1,339,67,Idaho State University,Charley's,0,1,0,0,0,2.5,3.5,0,1,Pocatello,,,0,0,0,1,1
Idaho,ID,16,6/13/2020,1,1,Already Permitted,Already Permitted,,1,1,377,107,Boise State University,Barbacoa Grill,0,0,0,0,1,7,7,0,0,Boise,M,M,0,0,1,1,1
Idaho,ID,16,6/13/2020,1,1,Already Permitted,Already Permitted,,1,1,398,134,University of Idaho,Applebee's,1,1,1,1,0,4.5,,0,0,Moscow,,N/A,0,0,0,1,1
Idaho,ID,16,6/13/2020,1,1,Already Permitted,Already Permitted,,1,1,470,67,Idaho State University,Center Street Clubhouse,0,0,0,1,0,3,4.5,0,0,Pocatello,,,0,0,0,1,1
Idaho,ID,16,6/13/2020,1,1,Already Permitted,Already Permitted,,1,1,510,107,Boise State University,The handlebar Boise,,,,,,,,,,Boise,,,,,,1,1
Idaho,ID,16,6/13/2020,1,1,Already Permitted,Already Permitted,,1,1,532,134,University of Idaho,Garden Lounge,,,,,,,,,,Moscow,,,,,,1,1
Illinois,IL,17,6/26/2020,1,1,Yes,Yes,,1,1,8,8,University of Illinois at Chicago,Output Tavern,1,1,1,0,0,5,5.5,0,0,Chicago,,N/A,0,0,0,1,1
Illinois,IL,17,6/26/2020,1,1,Yes,Yes,,1,1,27,28,University of Illinois at Urbana-Champaign,Hooters,,,,,,,,,,Champaign,,,,,,1,1
Illinois,IL,17,6/26/2020,1,1,Yes,Yes,,1,1,146,8,University of Illinois at Chicago,Del Toro,1,1,1,,,,,0,0,Chicago,,,,,,1,1
Illinois,IL,17,6/26/2020,1,1,Yes,Yes,,1,1,165,28,University of Illinois at Urbana-Champaign,Fat City Bar and Grill,,,,,,,,,,Urbana,,,,,,1,1
Illinois,IL,17,6/26/2020,1,1,Yes,Yes,,1,1,266,131,Illinois State University,Drifters,,,,,,,,,,Bloomington,,,,,,1,1
Illinois,IL,17,6/26/2020,1,1,Yes,Yes,,1,1,305,28,University of Illinois at Urbana-Champaign,Esquire Lounge Inc,1,1,1,0,0,2,3.75,0,0,Champaign,,,0,0,0,1,1
Illinois,IL,17,6/26/2020,1,1,Yes,Yes,,1,1,417,8,University of Illinois at Chicago,The CrossRoads Bar & Grill,1,1,1,0,1,6,7,0,0,Chicago,,BW,1,1,0,1,1
Illinois,IL,17,6/26/2020,1,1,Yes,Yes,,1,1,529,131,Illinois State University,Maggie's Miley's,1,1,1,1,0,3.5,4,0,0,Bloomington,,,0,0,0,1,1
Indiana,IN,18,6/12/2020,1,1,Yes,Yes,,1,1,6,6,Indiana University-Purdue University-Indianapolis,Stacked Pickle,,,,,,,,,,Indianapolis,,,,,,1,1
Indiana,IN,18,6/12/2020,1,1,Yes,Yes,,1,1,64,69,Indiana University-Bloomington,Lennie's and the Bloomington Brewing Co. Brewpub,,,,1,,5.75,7,0,0,Bloomington,,,,,,1,1
Indiana,IN,18,6/12/2020,1,1,Yes,Yes,,1,1,144,6,Indiana University-Purdue University-Indianapolis,St. Joseph Brewery,1,1,1,1,1,5,6,0,0,Indianapolis,b,b,1,0,0,1,1
Indiana,IN,18,6/12/2020,1,1,Yes,Yes,,1,1,162,25,Purdue University-Main Campus,Digby's Pub and Patio,1,1,0,1,0,4,4.5,0,0,Lafayette,,will sell cokctails in the future,0,0,0,1,1
